04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Results directory created : /mnt/home_nfs1/mbeyens/bin/pyAMPLI/bin/
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Selected somatic modus
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Found bed file /home/mbeyens/vcf_amplicon_haloplex/nele_amplicons.bed
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Found bam file /home/shared_data_core/COLON/160628_SNL167_0255_AC9273ACXX/ERB_run4/BAMs/erb_run4_uza11_2_bc_rw_s28.real.recal.bam
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Found bam file /home/shared_data_core/COLON/160628_SNL167_0255_AC9273ACXX/ERB_run4/BAMs/erb_run4_uza11_b1774256_pt_s62.real.recal.bam
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Found vcf file /home/mbeyens/bin/pyAMPLI/runtime_cpu/4_ERB_RUN4_UZA11_B1774256_PT.varscan2.pair.snp.vcf
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Reading in design file
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Created new somatic vcf for filtered variants (/mnt/home_nfs1/mbeyens/bin/pyAMPLI/bin/4_ERB_RUN4_UZA11_B1774256_PT.varscan2.pair.snp.filtered.vcf)
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Checking BAM/BAI files and calculating sequence lengths
04/05/2017 02:27:42 	-	 root 	-	 INFO 	-	 Multiprocessing variant filtering on 16 cores
04/05/2017 02:27:46 	-	 root 	-	 INFO 	-	 VCF processing done
04/05/2017 02:27:46 	-	 root 	-	 INFO 	-	 Merged 163 temporary vcf files to one vcf (/mnt/home_nfs1/mbeyens/bin/pyAMPLI/bin/4_ERB_RUN4_UZA11_B1774256_PT.varscan2.pair.snp.filtered.vcf)
04/05/2017 02:27:46 	-	 root 	-	 INFO 	-	 pyAMPLI finshed!
